Name,SiteID,Metric,1,2,3,4,5,6,7,8,9,10,11,12
Encanto Road Carwash,03A,Labor,16093.29,20489.987,23438.7837,23126.9289,22784.0073,20442.9389,22401.0936,16961.8568,18430.4169,22305.7721,17866.1821,19283.6392
Glendale Ave Carwash,14A,Sales,36597.44,51384.0302,52643.3565,53853.6498,55089.8266,56325.092,53251.8121,57225.0359,61401.0287,61027.631,61997.6821,63404.1076
Glendale Ave Carwash,14A,Cars,6946,7541,7724,7906,8089,8272,8454,8637,8820,7818,7970,9306
Glendale Ave Carwash,14A,Labor,11601.16,13195.9271,13519.3346,13830.1499,14147.6123,14464.8407,13675.5919,14695.9551,15768.3915,15672.4992,15921.6179,16282.8019
Kietze Lane Carwash,x,Sales,40767.17,97491.0038,59311.5224,67888.6438,86071.3882,116513.9216,109975.1628,99488.1712,121071.9312,54685.36,91748.4874,89168.5929
Kietze Lane Carwash,x,Cars,0,0,0,0,0,0,0,0,0,0,0,0
Kietze Lane Carwash,x,Labor,24351.17,38996.4015,23724.609,27155.4575,34428.5552,46605.5687,43990.0652,39795.2685,48428.7725,21874.144,36699.395,35667.4372
La Quinta Carwash,03C,Sales,122949.86,174095.321,184910.5391,153398.2003,157222.6868,123103.7254,122279.1208,132825.6776,124369.4246,170750.5,153570.1667,158693.8056
La Quinta Carwash,03C,Cars,6943,9383,9924,7896,8219,6156,6204,6991,6556,7940,9192,9286
La Quinta Carwash,03C,Labor,52721.11,69638.1284,73964.2156,61359.2801,62889.0747,49241.4901,48911.6483,53130.2711,49747.7698,68300.2,61428.0667,63477.5222
Mesa Drive Carwash,08A,Sales,34125.08,66329.9486,70366.923,60669.9492,77003.6675,59257.553,64147.3216,48686.9968,50832.8984,61113.0418,54242.6062,56108.4419
Mesa Drive Carwash,08A,Cars,6702,13812,14054,15297,19869,15882,16757,15135,14511,12563,14072,13718
Mesa Drive Carwash,08A,Labor,10371.63,16195.7991,17181.5081,14813.7957,18802.0036,14468.9306,15662.8666,11887.9155,12411.8808,14921.9858,13244.4299,13700.0115
Milburn Ave Carwash,01C,Sales,14744.83,50931.7071,52643.768,57563.8967,62803.3303,65169.9854,66674.334,58903.5,57763.9775,59907.54,60084.2062,61182.0808
Milburn Ave Carwash,01C,Cars,2019,7100,6186,9292,11139,12019,12694,14159,17442,15750,17142,18712
Milburn Ave Carwash,01C,Labor,8687.77,14260.878,14740.255,16117.8911,17584.9325,18247.5959,18668.8135,16492.98,16173.9137,16774.1112,16823.5778,17130.9826
Nichols Blvd Carwash,02N,Sales,49780.92,119732.0282,74558.874,84369.4359,101031.0214,126697.4324,122788.573,111711.116,112561.8199,60545.5631,95434.2253,90018.4895
Nichols Blvd Carwash,02N,Cars,3304,8845,8638,8553,8680,3593,10834,11191,11063,6164,9474,8902
Nichols Blvd Carwash,02N,Labor,17175.03,42388.658,26396.0334,29869.2607,35767.9518,44854.6159,43470.7648,39549.0193,39850.1935,21434.9093,33786.5214,31869.1918
North McCarran Carwash,04N,Sales,24733.91,55381.665,26262.7246,32616.1355,36580.0099,49344.9306,47497.6609,49461.8762,50381.1015,30311.7868,46116.2118,45172.2368
North McCarran Carwash,04N,Cars,3256,6640,6534,6155,6502,6397,6351,6351,6351,6351,7670,7670
North McCarran Carwash,04N,Labor,5185.67,12503.5085,5929.3306,7363.739,8258.6622,11140.596,10723.5383,11166.9988,11374.5322,6843.4866,10411.6488,10198.5277
Power Road Carwash,01A,Sales,60315.76,98166.3166,94868.2647,79354.9186,92028.6606,72654.0456,71690.6014,60768.1178,71023.2902,84153.6011,72096.4183,71738.8494
Power Road Carwash,01A,Cars,9577,15560,15273,12776,15457,11688,11814,10576,12310,11332,10794,10133
Power Road Carwash,01A,Labor,13461.83,20606.285,19913.9844,16657.5474,19317.9176,15250.954,15048.7155,12755.9554,14908.6389,17664.8483,15133.9013,15058.8433
Rock Blvd Carwash,05N,Sales,21348.93,33185.0162,25583.3345,26093.8672,34095.5515,33697.6099,33483.8792,33602.3588,34882.5026,21942.0373,28617.2878,29337.8719
Rock Blvd Carwash,05N,Cars,2961,5972,5863,5799,5880,5764,6189,7043,7547,4329,6308,6063
Rock Blvd Carwash,05N,Labor,5310.39,10355.6238,7983.4642,8142.7796,10639.7629,10515.5824,10448.8862,10485.8585,10885.3367,6847.171,8930.2312,9155.0947
Scottsdale Road Car Wash,09A,Sales,71239.72,105424.2362,107106.2611,97202.6292,114635.9739,94754.7583,97260.1594,100871.1945,95691.7495,98925.1985,93554.6035,89636.1168
Scottsdale Road Car Wash,09A,Cars,11828,16554,17607,16925,21160,17607,18644,20036,17655,16984,12389,11404
Scottsdale Road Car Wash,09A,Labor,15946.88,20030.6049,20350.1896,18468.4996,21780.8351,18003.4041,18479.4302,19165.527,18181.4324,18795.7877,17775.3747,17030.8622
South Lake Tahoe Carwash,07N,Sales,0,0,0,35988.975,45604.35,49945.005,41274.684,49413.1374,48525.9588,52281.3153,60747.5046,55499.9429
South Lake Tahoe Carwash,07N,Cars,0,0,0,4484,5693,5915,5466,6296,6244,6804,7486,6833
South Lake Tahoe Carwash,07N,Labor,0,0,0,8997.2438,11401.0875,12486.2512,10318.671,12353.2843,12131.4897,13070.3289,15186.8761,13874.9857
